2022-08-06 20:17:09.036 | INFO     | server:startup_event:120 - Setup completed
2022-08-06 20:17:40.039 | INFO     | server:shutdown_event:131 - Shutting down application
2022-08-06 20:17:45.179 | INFO     | server:startup_event:120 - Setup completed
2022-08-06 20:18:06.650 | INFO     | server:shutdown_event:131 - Shutting down application
2022-08-06 20:18:10.991 | INFO     | server:startup_event:120 - Setup completed
2022-08-06 20:19:58.937 | INFO     | server:shutdown_event:131 - Shutting down application
2022-08-06 20:20:03.226 | INFO     | server:startup_event:121 - Setup completed
2022-08-06 20:20:10.671 | DEBUG    | server:predict:161 - {'request': PredictRequest(source='BBC Technology', url='http://news.bbc.co.uk/go/click/rss/0.91/public/-/2/hi/business/4144939.stm', title='System gremlins resolved at HSBC', description='Computer glitches which led to chaos for HSBC customers on Monday are fixed, the High Street bank confirms.'), 'prediction': PredictResponse(scores={'Sci/Tech': 0.30511758906926134, 'Entertainment': 0.2733541765333242, 'Business': 0.21845424992293613, 'Sports': 0.10161076853181115, 'Health': 0.0599104867081475, 'Software and Developement': 0.019976845845950112, 'Toons': 0.013747835791480088, 'Music Feeds': 0.007828047597089445}, label='Sci/Tech'), 'latency': '3239.250 ms'}
2022-08-06 20:22:35.464 | DEBUG    | server:predict:161 - {'request': PredictRequest(source='New York Times', url='', title='Weis chooses not to make pickoff', description="Bill Belichick won't have to worry about Charlie Weis raiding his coaching staff for Notre Dame. But we'll have to see whether new Miami Dolphins coach Nick Saban has an eye on any of his former assistants."), 'prediction': PredictResponse(scores={'Entertainment': 0.3259128006757644, 'Sci/Tech': 0.24419645532079248, 'Business': 0.21055800021909785, 'Sports': 0.1048982140735205, 'Health': 0.07027369157275473, 'Software and Developement': 0.021362163554596202, 'Toons': 0.014628899022727132, 'Music Feeds': 0.008169775560746691}, label='Entertainment'), 'latency': '6722.747 ms'}
2022-08-06 20:23:00.363 | DEBUG    | server:predict:161 - {'request': PredictRequest(source='Boston Globe', url='http://www.boston.com/business/articles/2005/01/04/mike_wallace_subpoenaed?rss_id=BostonGlobe--BusinessNews', title='Mike Wallace subpoenaed', description='Richard Scrushy once sat down to talk with 60 Minutes correspondent Mike Wallace about allegations that Scrushy started a huge fraud while chief executive of rehabilitation giant HealthSouth Corp. Now, Scrushy wants Wallace to do the talking.'), 'prediction': PredictResponse(scores={'Entertainment': 0.304972905066125, 'Sci/Tech': 0.29823993202687155, 'Business': 0.1493509387196428, 'Sports': 0.1131998410799757, 'Health': 0.0717183861389617, 'Software and Developement': 0.02950490016452964, 'Toons': 0.023443018732515832, 'Music Feeds': 0.009570078071377788}, label='Entertainment'), 'latency': '7563.098 ms'}
2022-08-06 20:23:41.058 | DEBUG    | server:predict:161 - {'request': PredictRequest(source='Reuters World', url='http://www.reuters.com/newsArticle.jhtml?type=worldNewsstoryID=7228962', title='Peru Arrests Siege Leader, to Storm Police Post', description='LIMA, Peru (Reuters) - Peruvian authorities arrested a former army major who led a three-day uprising in a southern  Andean town and will storm the police station where some of his  200 supporters remain unless they surrender soon, Prime  Minister Carlos Ferrero said on Tuesday.'), 'prediction': PredictResponse(scores={'Sports': 0.39992121129588265, 'Entertainment': 0.24038188863778914, 'Sci/Tech': 0.1356348683931654, 'Business': 0.13108935541024558, 'Health': 0.04101971081544243, 'Toons': 0.02196752468588485, 'Software and Developement': 0.021787362871081378, 'Music Feeds': 0.008198077890508453}, label='Sports'), 'latency': '8074.616 ms'}
2022-08-06 20:24:01.617 | DEBUG    | server:predict:161 - {'request': PredictRequest(source='The Washington Post', url='http://www.washingtonpost.com/wp-dyn/articles/A46063-2005Jan3.html?nav=rss_sports', title='Ruffin Fills Key Role', description='With power forward Etan Thomas having missed the entire season, reserve forward Michael Ruffin has done well in taking his place.'), 'prediction': PredictResponse(scores={'Entertainment': 0.3784192322327716, 'Sports': 0.22838849300987202, 'Business': 0.17914096101582216, 'Sci/Tech': 0.12409821974144543, 'Health': 0.04177165340538694, 'Software and Developement': 0.02090990586673509, 'Toons': 0.02030577350995407, 'Music Feeds': 0.006965761218012765}, label='Entertainment'), 'latency': '3813.596 ms'}
2022-08-06 20:37:54.577 | INFO     | server:shutdown_event:132 - Shutting down application
